Lignin ID,11_36
Adjacency matrix
,1G,2G,3G,4G,5G,6G,7G,8G,9G,10G,11G,
1G,0,1,0,0,0,0,0,0,0,0,0,
2G,0,0,1,0,0,1,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,
4G,0,0,1,0,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,0,0,0,0,
6G,0,0,0,0,0,0,1,0,0,0,0,
7G,0,0,0,0,0,0,0,0,0,0,0,
8G,0,0,0,0,0,0,1,0,0,0,0,
9G,0,0,0,0,0,0,0,1,0,0,0,
10G,0,0,0,0,0,0,0,0,1,0,0,
11G,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1G,2G,3G,4G,5G,6G,7G,8G,9G,10G,11G,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2G,4, 0, B, 0, 0, 5, 0, 0, 0, 0, 0, 
3G,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
4G,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 
6G,0, 5, 0, 0, 0, 0, B, 0, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
8G,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
9G,0, 0, 0, 0, 0, 0, 0, B, 0, 5, 0, 
10G,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
11G,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
