Lignin ID,10_5135
Adjacency matrix
,1S,2G,3G,4G,5S,6S,7G,8S,9S,10S,
1S,0,1,0,0,0,0,0,0,0,0,
2G,0,0,0,1,0,0,0,0,0,0,
3G,0,0,0,1,0,0,0,0,0,0,
4G,0,0,0,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,
7G,0,0,0,0,0,1,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,
9S,0,0,0,0,0,0,0,1,0,0,
10S,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2G,3G,4G,5S,6S,7G,8S,9S,10S,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
2G,B, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
3G,0, 0, 0, B, 0, 0, 0, 0, 0, 0, 
4G,0, 5, B, 0, 4, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 5, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
10S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
