Lignin ID,10_6166
Adjacency matrix
,1S,2S,3G,4G,5G,6S,7S,8S,9G,10S,
1S,0,1,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,
4G,0,0,1,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,
7S,0,0,0,0,0,0,0,0,0,0,
8S,0,0,0,0,0,0,1,0,1,0,
9G,0,0,0,0,0,0,0,0,0,1,
10S,0,0,0,0,0,0,0,0,0,0,

Connectivity matrix
,1S,2S,3G,4G,5G,6S,7S,8S,9G,10S,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
4G,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
9G,0, 0, 0, 0, 0, 0, 0, 5, 0, B, 
10S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
