Lignin ID,11_1560
Adjacency matrix
,1G,2S,3S,4S,5G,6S,7S,8G,9S,10G,11S,
1G,0,1,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,
3S,0,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,0,
7S,0,0,0,0,0,0,0,0,0,0,0,
8G,0,0,0,0,0,0,1,0,0,1,0,
9S,0,0,0,0,0,0,0,0,0,1,0,
10G,0,0,0,0,0,0,0,0,0,0,0,
11S,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1G,2S,3S,4S,5G,6S,7S,8G,9S,10G,11S,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
3S,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 0, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 
8G,0, 0, 0, 0, 0, 0, B, 0, 0, 5, 0, 
9S,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
10G,0, 0, 0, 0, 0, 0, 0, 5, B, 0, 4, 
11S,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
