Lignin ID,11_1453
Adjacency matrix
,1S,2S,3G,4S,5S,6G,7S,8S,9S,10G,11G,
1S,0,1,0,0,0,0,0,0,0,0,0,
2S,0,0,0,0,0,0,0,0,0,0,0,
3G,0,0,0,1,0,0,0,0,0,0,0,
4S,0,0,0,0,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,0,
6G,0,0,0,0,1,0,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,0,
9S,0,0,0,0,0,0,0,1,0,0,0,
10G,0,0,0,0,0,0,0,0,1,0,0,
11G,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2S,3G,4S,5S,6G,7S,8S,9S,10G,11G,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
6G,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
10G,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
11G,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
