Lignin ID,11_4246
Adjacency matrix
,1G,2S,3G,4G,5S,6S,7S,8S,9S,10S,11G,
1G,0,1,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,
4G,0,0,1,0,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,0,0,
8S,0,0,0,0,0,0,0,0,1,0,0,
9S,0,0,0,0,0,0,0,0,0,0,1,
10S,0,0,0,0,0,0,0,0,0,0,0,
11G,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1G,2S,3G,4G,5S,6S,7S,8S,9S,10S,11G,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
4G,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 0, 0, 0, 0, 
8S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 0, 4, 
10S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 
11G,0, 0, 0, 0, 0, 0, 0, 0, 5, B, 0, 
