Lignin ID,11_4791
Adjacency matrix
,1G,2S,3G,4S,5S,6S,7G,8S,9S,10S,11G,
1G,0,1,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,0,
6S,0,0,0,0,0,0,0,0,0,0,0,
7G,0,0,0,0,0,1,0,0,0,0,1,
8S,0,0,0,0,0,0,1,0,0,0,0,
9S,0,0,0,0,0,0,0,0,0,1,0,
10S,0,0,0,0,0,0,0,0,0,0,0,
11G,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1G,2S,3G,4S,5S,6S,7G,8S,9S,10S,11G,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 
6S,0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 5, 
8S,0, 0, 0, 0, 0, 0, B, 0, 0, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
10S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
11G,0, 0, 0, 0, 0, 0, 5, 0, 0, B, 0, 
