Lignin ID,11_542
Adjacency matrix
,1S,2S,3S,4S,5G,6S,7S,8G,9S,10G,11G,
1S,0,1,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,
3S,0,0,0,0,0,0,0,0,0,0,1,
4S,0,0,0,0,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,1,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,0,0,
8G,0,0,0,0,0,0,0,0,1,0,0,
9S,0,0,0,0,0,0,0,0,0,0,0,
10G,0,0,0,0,0,0,0,0,1,0,0,
11G,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2S,3S,4S,5G,6S,7S,8G,9S,10G,11G,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
3S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 4, 
4S,0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 4, 0, 5, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 0, 0, 0, 0, 
8G,0, 0, 0, 0, 5, 0, 0, 0, B, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
10G,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
11G,0, 0, 5, 0, 0, 0, 0, 0, 0, B, 0, 
