Lignin ID,11_6859
Adjacency matrix
,1G,2S,3S,4S,5S,6S,7S,8G,9S,10G,11G,
1G,0,1,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,
3S,0,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,0,0,
8G,0,0,0,0,0,0,1,0,0,0,0,
9S,0,0,0,0,0,0,0,1,0,0,1,
10G,0,0,0,0,0,0,0,0,0,0,1,
11G,0,0,0,0,0,0,0,0,0,0,0,

Connectivity matrix
,1G,2S,3S,4S,5S,6S,7S,8G,9S,10G,11G,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
3S,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
8G,0, 0, 0, 0, 0, 0, B, 0, 5, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 0, 4, 
10G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 
11G,0, 0, 0, 0, 0, 0, 0, 0, 5, B, 0, 
