Lignin ID,12_340
Adjacency matrix
,1S,2S,3G,4G,5S,6S,7S,8G,9S,10S,11S,12G,
1S,0,1,0,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,0,
4G,0,0,1,0,0,0,0,0,0,0,0,1,
5S,0,0,0,1,0,0,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,0,0,0,
8G,0,0,0,0,0,0,1,0,0,0,0,0,
9S,0,0,0,0,0,0,0,1,0,0,0,0,
10S,0,0,0,0,0,0,0,0,1,0,0,0,
11S,0,0,0,0,0,0,0,0,0,0,0,1,
12G,0,0,0,0,0,0,0,0,0,0,0,0,

Connectivity matrix
,1S,2S,3G,4G,5S,6S,7S,8G,9S,10S,11S,12G,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 
4G,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 5, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
8G,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
10S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 0, 0, 
11S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 
12G,0, 0, 0, 5, 0, 0, 0, 0, 0, 0, B, 0, 
