Lignin ID,14_72
Adjacency matrix
,1S,2S,3G,4S,5G,6G,7S,8S,9S,10S,11S,12S,13G,14G,
1S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
6G,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
7S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
9S,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
10S,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
11S,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
13G,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14G,0,0,0,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2S,3G,4S,5G,6G,7S,8S,9S,10S,11S,12S,13G,14G,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6G,0, 0, 0, 0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
10S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
11S,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
12S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
13G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
14G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
