Lignin ID,19_61
Adjacency matrix
,1S,2S,3G,4S,5G,6S,7G,8S,9G,10S,11S,12S,13S,14G,15G,16G,17S,18S,19S,
1S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
7G,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
9G,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11S,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
13S,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
14G,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
15G,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
16G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
17S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
18S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
19S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2S,3G,4S,5G,6S,7G,8S,9G,10S,11S,12S,13S,14G,15G,16G,17S,18S,19S,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6S,0, 0, 0, 0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9G,0, 0, 0, 0, 0, 0, 5, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
11S,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
12S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
13S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
14G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
15G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
16G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
17S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
18S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
19S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
